number,title,state,created_at,updated_at,closed_at,body,labels,assignees,milestone,comments
1187,fix - change mimeTypeVariable name in Animation object,open,2023-01-21 21:21:28,2023-01-21 21:21:28,,"In other objects (Document, Audio, and others), the objects are called mimeType. It would be cool if everyone had the same name. For example, it makes it easier to use the mapstruct library",[],[],,0
1186,Error when use Spring Native,open,2023-01-19 17:21:50,2023-01-30 03:29:23,,"**Describe the bug**
When use Spring Boot Native with Telegram Bots Spring library, get error of jackson

**To Reproduce**
Steps to reproduce the behavior:
1. Create a Spring Boot 2.7.7 project with Spring Native
2. Add telegrambots-spring-boot-starter library
3. Create a simple bot
4. Compile with bootBuildImage
5. Execute the image

**Expected behavior**
Start spring boot project with telegram bot

**Actual**

You get these errors:

```kotlin
Caused by: com.fasterxml.jackson.databind.exc.InvalidDefinitionException: Cannot construct instance of `org.telegram.telegrambots.meta.api.objects.ApiResponse` (no Creators, like default constructor, exist): cannot deserialize from Object value (no delegate- or property-based Creator)
 at [Source: (String)""{""ok"":true,""result"":true,""description"":""Webhook is already deleted""}""; line: 1, column: 2]
        at com.fasterxml.jackson.databind.DeserializationContext.reportBadDefinition(DeserializationContext.java:1904) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.DatabindContext.reportBadDefinition(DatabindContext.java:400) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.DeserializationContext.handleMissingInstantiator(DeserializationContext.java:1349) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.deser.BeanDeserializerBase.deserializeFromObjectUsingNonDefault(BeanDeserializerBase.java:1415) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserializeFromObject(BeanDeserializer.java:352) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:185) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.deser.DefaultDeserializationContext.readRootValue(DefaultDeserializationContext.java:323) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4674) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3629) ~[com.zred.zgitlab.ZGitlabApplicationKt:2.13.4.2]
        at org.telegram.telegrambots.meta.api.methods.PartialBotApiMethod.deserializeResponseInternal(PartialBotApiMethod.java:49) ~[com.zred.zgitlab.ZGitlabApplicationKt:na]

```

It works fine in .jar mode, only fail in native mode.

",[],[],,1
1185,Send sticker by sticker id,closed,2023-01-18 17:16:49,2023-03-04 11:02:57,2023-03-04 11:02:57,"Add the ability to send stickers not only via inputFile, but also via Telegram sticker id",[],[],,1
1184,Fixes,open,2023-01-16 18:04:05,2023-01-22 15:48:39,,,[],[],,0
1183,Allow ActionType setters for action,open,2023-01-15 10:46:16,2023-01-15 10:46:16,,,[],[],,0
1182,Bot Token and username not found when running docker container,closed,2023-01-13 16:22:11,2023-01-14 02:17:19,2023-01-14 02:17:18,"Any Idea why the container can't detect token and username? The bot and server works fine when running outside the container. Not sure if I'm building the image wrong or running it wrongly. Many thanks.

**Error:**
```
org.telegram.telegrambots.meta.exceptions.TelegramApiException: Bot token and username can't be empty
        at org.telegram.telegrambots.meta.TelegramBotsApi.registerBot(TelegramBotsApi.java:62)
        at com.nc1z.demobot1.Demobot1Application.main(Demobot1Application.java:18)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:104)
        at java.base/java.lang.reflect.Method.invoke(Method.java:577)
        at org.springframework.boot.loader.MainMethodRunner.run(MainMethodRunner.java:49)
        at org.springframework.boot.loader.Launcher.launch(Launcher.java:95)
        at org.springframework.boot.loader.Launcher.launch(Launcher.java:58)
        at org.springframework.boot.loader.JarLauncher.main(JarLauncher.java:65)
```

**Dockerfile:**
```
FROM openjdk:19-jdk-alpine
ARG JAR_FILE=target/*.jar
COPY ./target/demobot1-0.0.1-SNAPSHOT.jar app.jar
EXPOSE 8080
ENTRYPOINT [""java"",""-jar"",""/app.jar""]
```

**Demobot.java**
```
package com.nc1z.demobot1.bot;

import org.telegram.telegrambots.bots.TelegramLongPollingBot;
import org.telegram.telegrambots.meta.api.methods.send.SendMessage;
import org.telegram.telegrambots.meta.api.objects.Update;
import org.telegram.telegrambots.meta.exceptions.TelegramApiException;

public class DemoBot extends TelegramLongPollingBot {

    @Override
    public String getBotUsername() {
        return ""MY_BOT_USERNAME"";
    }

    @Override
    public String getBotToken() {
        return ""MY_HARDCODED_BOT_TOKEN"";
    }

    @Override
    public void onUpdateReceived(Update update) {
    .... rest of the code
  ```
",[],[],,1
1181,LongPoll Bot sometime miss message,open,2023-01-13 08:39:23,2023-01-13 08:39:23,,"**Describe the bug**
Spring boot TelegramLongPollingBot sometime miss message. onUpdateReceived method check database and send message to user. 
How config bot to overcome problem? Can increasing maxThread help?",[],[],,0
1180,add new break line into TelegramLongPollingBot class,open,2023-01-12 17:22:13,2023-08-23 08:49:17,,,[],[],,0
1179,How to listen for not bot messages — account messages.,open,2023-01-08 01:57:12,2023-08-21 03:31:52,,"Hi! I made my first Telegram bot. It's able to listen for new messages in the Telegram bot (BotFarther), code below, but I need to listen for  new messages on my Telegram account! Not bot! How to do it help me please!

```
package org.example;

import org.telegram.telegrambots.bots.TelegramLongPollingBot;
import org.telegram.telegrambots.meta.TelegramBotsApi;
import org.telegram.telegrambots.meta.api.objects.Update;
import org.telegram.telegrambots.meta.exceptions.TelegramApiException;
import org.telegram.telegrambots.updatesreceivers.DefaultBotSession;

public class Main {
    public static void main(String[] args) {
        try {
            TelegramBotsApi telegramBotsApi = new TelegramBotsApi(DefaultBotSession.class);
            MyBot bot = new MyBot();
            telegramBotsApi.registerBot(bot);

        } catch (TelegramApiException e) {
            e.printStackTrace();
        }
    }
}

class MyBot extends TelegramLongPollingBot {
    @Override
    public void onUpdateReceived(Update update) {
        System.out.println(""Hello World"");
    }

    @Override
    public String getBotUsername() {
        return ""BOT_USERNAME"";
    }

    @Override
    public String getBotToken() {
        return ""BOT_TOKEN"";
    }

}
```

",[],[],,2
1178,Merge Telegram Client,closed,2023-01-07 14:49:20,2023-08-20 12:43:24,2023-08-20 12:43:24,,[],[],,0
1177,Telegram bots 7.X.X,open,2023-01-06 14:23:12,2023-08-23 08:49:17,,New redesign of Telegram Bots,[],[],,0
1176,ERROR DefaultBotSession - Unable to deserialize response,closed,2023-01-04 14:52:53,2023-01-04 22:05:21,2023-01-04 22:05:21,"On start up bot I receive this errors
`17:46:53 [INFO] NEXUSBOT: TG BOT ENABLED2!!!
17:46:53 [INFO] NEXUSBOT: TG BOT ENABLED2!!!
17:46:53 [INFO] NEXUSBOT: TG BOT ENABLED2!!!
17:46:53 [INFO] 17:46:53.665 [NGriefBot Telegram Connection] ERROR org.telegram.telegrambots.updatesreceivers.DefaultBotSession - Unable to deserialize response
org.telegram.telegrambots.meta.exceptions.TelegramApiRequestException: Unable to deserialize response
	at org.telegram.telegrambots.meta.api.methods.updates.GetUpdates.deserializeResponse(GetUpdates.java:96) ~[NexusBot.jar:?]
	at org.telegram.telegrambots.updatesreceivers.DefaultBotSession$ReaderThread.getUpdatesFromServer(DefaultBotSession.java:260) ~[NexusBot.jar:?]
	at org.telegram.telegrambots.updatesreceivers.DefaultBotSession$ReaderThread.run(DefaultBotSession.java:189) [NexusBot.jar:?]
Caused by: com.fasterxml.jackson.databind.JsonMappingException: Numeric value (2571505618) out of range of int
 at [Source: (StringReader); line: 2, column: 1039]
 at [Source: (StringReader); line: 2, column: 1029] (through reference chain: org.telegram.telegrambots.meta.api.objects.ApiResponse[""result""]->java.util.ArrayList[0]->org.telegram.telegrambots.meta.api.objects.Update[""message""]->org.telegram.telegrambots.meta.api.objects.Message[""video""]->org.telegram.telegrambots.meta.api.objects.Video[""file_size""])
	at com.fasterxml.jackson.databind.JsonMappingException.wrapWithPath(JsonMappingException.java:391) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.JsonMappingException.wrapWithPath(JsonMappingException.java:351) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializerBase.wrapAndThrow(BeanDeserializerBase.java:1704) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:290) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.MethodProperty.deserializeAndSet(MethodProperty.java:127) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.MethodProperty.deserializeAndSet(MethodProperty.java:127) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:286) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:245) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:27) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.FieldProperty.deserializeAndSet(FieldProperty.java:136) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4001) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3011) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at org.telegram.telegrambots.meta.api.methods.updates.GetUpdates.deserializeResponse(GetUpdates.java:88) ~[NexusBot.jar:?]
	... 2 more
Caused by: com.fasterxml.jackson.core.JsonParseException: Numeric value (2571505618) out of range of int
 at [Source: (StringReader); line: 2, column: 1039]
	at com.fasterxml.jackson.core.JsonParser._constructError(JsonParser.java:1804) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.core.base.ParserMinimalBase._reportError(ParserMinimalBase.java:663) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.core.base.ParserBase.convertNumberToInt(ParserBase.java:869) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.core.base.ParserBase._parseIntValue(ParserBase.java:801) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.core.base.ParserBase.getIntValue(ParserBase.java:645) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.NumberDeserializers$IntegerDeserializer.deserialize(NumberDeserializers.java:472) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.NumberDeserializers$IntegerDeserializer.deserialize(NumberDeserializers.java:452) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.MethodProperty.deserializeAndSet(MethodProperty.java:127) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.MethodProperty.deserializeAndSet(MethodProperty.java:127) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.MethodProperty.deserializeAndSet(MethodProperty.java:127) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:286) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:245) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.std.CollectionDeserializer.deserialize(CollectionDeserializer.java:27) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.impl.FieldProperty.deserializeAndSet(FieldProperty.java:136) ~
17:46:53 [INFO] [BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.vanillaDeserialize(BeanDeserializer.java:288) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.deser.BeanDeserializer.deserialize(BeanDeserializer.java:151) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4001) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3011) ~[BungeeCord.jar:git:BungeeCord-Bootstrap:1.13-SNAPSHOT:5a3938a:unknown]
	at org.telegram.telegrambots.meta.api.methods.updates.GetUpdates.deserializeResponse(GetUpdates.java:88) ~[NexusBot.jar:?]
	... 2 more
`
Here is my code Start:
`try {
                TelegramBotsApi botsApi = new TelegramBotsApi(DefaultBotSession.class);
               // tgBotListener = new BotListener();
                botsApi.registerBot(new BotTest());
                System.out.println(""NEXUSBOT: TG BOT ENABLED2!!!"");
                System.out.println(""NEXUSBOT: TG BOT ENABLED2!!!"");
                System.out.println(""NEXUSBOT: TG BOT ENABLED2!!!"");
            } catch (TelegramApiException e) {
                e.printStackTrace();
            }`

Here is BotTest class:
`import org.telegram.telegrambots.bots.TelegramLongPollingBot;
import org.telegram.telegrambots.meta.api.objects.Update;
import ru.vanya.nexusbot.NexusBotPlugin;

public class BotTest extends TelegramLongPollingBot {


    @Override
    public String getBotUsername() {
        return NexusBotPlugin.getTGUsername();
    }

    @Override
    public String getBotToken() {
        return NexusBotPlugin.getTGToken();
    }

    @Override
    public void onUpdateReceived(Update update) {

    }
}
`
What is the problem? This was not the case before. If you remove the registration of the bot, then there is no error at startup.
TelegramBots version is 6.4.0
",[],[],,2
1175,"BAG Method ""getMethod"" of class SendSticker return null not PATH vari…",closed,2023-01-04 10:28:25,2023-01-04 11:24:18,2023-01-04 11:24:18,Update SendSticker class ,[],[],,1
1174,Dev,closed,2023-01-04 02:37:50,2023-02-06 00:11:44,2023-02-06 00:11:44,,[],[],,0
1173,Remove guava dep from main modules,closed,2023-01-04 01:30:20,2023-01-04 01:35:03,2023-01-04 01:35:03,,[],[],,0
1172,Dev,closed,2023-01-02 18:03:36,2023-01-02 18:05:14,2023-01-02 18:05:14,,[],[],,0
1171,Dev,closed,2023-01-02 08:37:21,2023-01-03 19:46:04,2023-01-03 19:46:04,"Fixed tpyo on README.md
Under header Example bots
Chnaged the fourth option from (Send files uploding them) to (Send files uploading them)",[],[],,0
1170,Fix typo,closed,2023-01-02 07:55:30,2023-01-02 07:56:16,2023-01-02 07:56:05,,[],[],,0
1169,Skip updates when bot is off,open,2023-01-02 01:31:08,2023-01-02 15:31:57,,"As soon as i turn my bot on, it answers to updates received when it was off. Is there a way to skip these updates?",[],[],,2
