Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"BackupVar.java",5,0,5,0,1,,,,,1,1,0,6,,6,5,1,,,,6,,0,1,0,5,,45,9,36,19,11,0,,15,24,14,10,,3,,1,,,0,00,8
File,"BanChatMember.java",5,0,5,0,1,,,,,2,0,5,7,,7,7,4,,,,7,,0,0,0,7,,113,14,79,57,16,23,,36,47,36,11,,3,,1,,,0,29,9
File,"BanChatMemberTest.java",13,0,13,0,1,,,,,1,0,0,3,,3,3,0,,,,3,,0,0,0,3,,55,5,46,21,29,4,,17,21,15,11,,1,,0,,,0,09,3
File,"BanChatSenderChat.java",5,0,5,0,1,,,,,2,0,4,7,,7,7,3,,,,7,,0,0,0,7,,102,13,76,54,15,15,,34,45,34,11,,3,,1,,,0,20,9
File,"BareboneToggle.java",5,0,4,1,1,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,20,3,12,7,2,5,,4,7,5,2,,1,,0,,,0,42,2
File,"BareboneToggleTest.java",4,0,4,0,1,,,,,1,0,0,5,,5,4,4,,,,4,,2,0,0,2,,48,9,39,25,9,0,,25,30,21,9,,1,,0,,,0,00,5
File,"BaseAbilityBot.java",8,0,6,1,1,,,,,1,4,7,79,,80,49,9,,,,53,,14,12,8,19,,714,91,490,190,280,133,,241,316,182,169,,4,,2,,,0,27,106
File,"BotApiMethod.java",0,0,0,0,0,,,,,1,0,1,0,,0,0,0,,,,0,,0,0,0,0,,19,4,9,8,1,6,,5,6,6,0,,0,,0,,,0,67,0
File,"BotApiMethodBoolean.java",4,0,4,0,1,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,21,2,13,10,1,6,,6,8,7,1,,1,,0,,,0,46,1
File,"BotApiMethodHelperFactory.java",9,0,9,0,1,,,,,1,31,0,32,,32,1,0,,,,32,,0,6,0,26,,379,36,339,97,218,4,,105,138,96,50,,1,,0,,,0,01,32
File,"BotApiMethodMessage.java",4,0,4,0,1,,,,,1,0,0,1,,1,1,0,,,,1,,0,0,0,1,,22,2,14,11,1,6,,7,9,8,1,,1,,0,,,0,43,1
File,"BotApiMethodSerializable.java",10,1,9,0,3,,,,,1,0,0,2,,2,2,0,,,,2,,0,0,0,2,,43,5,32,16,11,6,,16,23,15,8,,4,,3,,,0,19,5
File,"BotApiObject.java",0,0,0,0,0,,,,,1,0,0,0,,0,0,0,,,,0,,0,0,0,0,,16,3,8,7,0,5,,4,5,5,0,,0,,0,,,0,63,0
File,"BotCommand.java",11,1,5,5,2,,,,,1,0,3,5,,6,6,2,,,,6,,0,0,0,6,,90,13,40,18,16,37,,20,29,17,12,,4,,1,,,0,93,8
