number,title,state,created_at,updated_at,closed_at,body,labels,assignees,milestone,comments
1156,How to delete message about user coming into group,open,2022-11-28 22:18:50,2023-03-29 07:23:35,,"Hey, I am looking for a way that my Telegram Bot can delete the message about users coming into the group.

![image](https://user-images.githubusercontent.com/98133651/204392714-a809e928-de01-4971-98af-c9fb22f7f836.png)
",[],[],,2
1155,Spring Boot 3 support,closed,2022-11-28 20:50:19,2023-02-27 12:27:14,2023-02-27 12:27:13,"This PR addresses issue #1144 

- Support Spring Boot 3 and Jakarta EE 9
- Switch the release version of Java to 11 for better support of JDK 17
- Switch the release version of telegrambots-spring-boot-starter to Java 17",[],[],,3
1154,Can not resolve method execute and null option error ,open,2022-11-27 22:38:31,2023-06-24 03:11:15,,"My IDE (IntelliJ IDEA Community Edition 2021.3) says that there isn't any reference to execute method when I want to send a message (type SendMessage obj)
 
![image](https://user-images.githubusercontent.com/98133651/204163459-1bacdadf-a463-49b4-9c70-a4c7b4870248.png)
![image](https://user-images.githubusercontent.com/98133651/204163491-23c55124-3c27-481b-befa-a098e18657ce.png)

After trying the sender.execute(obj) it is showed 
 
![image](https://user-images.githubusercontent.com/98133651/204163507-e8fe6b30-51aa-4376-a773-33471a1f2493.png)

What should I do in this case?
",[],[],,1
1153,Add the ability to add a spoiler to the bot message.,open,2022-11-25 09:10:01,2022-11-25 09:10:01,,Add the ability to add a spoiler to the bot message.,[],[],,0
1152,Spring boot 3.0 and jakarta.xml,open,2022-11-25 07:47:11,2023-04-26 05:33:39,,"Hi.

I upgrade to spring boot 3.0 and runtime failed to find  `javax.xml.*` classes, it needed by `JaxbAnnotationModule`, that provided in `com.fasterxml.jackson.module:jackson-module-jaxb-annotations`. It is dependency of  `org.telegram:telegrambots-meta:6.3.0` and `com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider`.

![image](https://user-images.githubusercontent.com/1404372/203927824-2894cc98-bc55-40a2-9417-b835e56b57e4.png)

Downgrading of `jakarta.xml.bind:jakarta.xml.bind-api` back to 2.3.3 breaks another jackson module",[],[],,6
1151,"""How can I compile my project?"" doesn't work. Recording is archived",open,2022-11-23 18:32:06,2022-11-23 18:32:06,,"Recording of project compiling is archived

<img width=""930"" alt=""image"" src=""https://user-images.githubusercontent.com/89937624/203622069-aab54f8c-76e1-4aa2-9ead-39aa136343ba.png"">

",[],[],,0
1150,SerialVersionUID error spotted on updating the version,open,2022-11-23 08:07:59,2022-11-23 08:07:59,,"**Spotted this error while updating from 6.0.1 to 6.1.0**
By Bot has 1 predefined command set from BotFather ""menu"". While sending this command to my bot spotted this error. 
Other commands built with InlineKeyboardButton work well.

2022-11-23 10:49:13.678 ERROR 98140 --- [legram Executor] o.t.t.u.DefaultBotSession                : null
org.mapdb.DBException$SerializationError: null
	at org.mapdb.StoreDirectAbstract.deserialize(StoreDirectAbstract.kt:234) ~[mapdb-3.0.8.jar:na]
	at org.mapdb.StoreWAL.get(StoreWAL.kt:527) ~[mapdb-3.0.8.jar:na]
	at org.mapdb.HTreeMap.valueUnwrap(HTreeMap.kt:1198) ~[mapdb-3.0.8.jar:na]
	at org.mapdb.HTreeMap.getprotected(HTreeMap.kt:644) ~[mapdb-3.0.8.jar:na]
	at org.mapdb.HTreeMap.get(HTreeMap.kt:603) ~[mapdb-3.0.8.jar:na]
	at java.base/java.util.concurrent.ConcurrentMap.compute(ConcurrentMap.java:418) ~[na:na]
	at org.telegram.abilitybots.api.bot.BaseAbilityBot.addUser(BaseAbilityBot.java:650) ~[telegrambots-abilities-6.1.0.jar:na]
	at java.base/java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:197) ~[na:na]
	at java.base/java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:179) ~[na:na]
	at java.base/java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:179) ~[na:na]
	at java.base/java.util.stream.Streams$StreamBuilderImpl.forEachRemaining(Streams.java:411) ~[na:na]
	at java.base/java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:509) ~[na:na]
	at java.base/java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:499) ~[na:na]
	at java.base/java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150) ~[na:na]
	at java.base/java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173) ~[na:na]
	at java.base/java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) ~[na:na]
	at java.base/java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:596) ~[na:na]
	at org.telegram.abilitybots.api.bot.BaseAbilityBot.onUpdateReceived(BaseAbilityBot.java:258) ~[telegrambots-abilities-6.1.0.jar:na]
	at org.telegram.abilitybots.api.bot.AbilityBot.onUpdateReceived(AbilityBot.java:55) ~[telegrambots-abilities-6.1.0.jar:na]
	at com.multiforecast.telegrambot.bot.WeatherBot.onUpdateReceived(WeatherBot.java:80) ~[classes/:na]
	at java.base/java.util.ArrayList.forEach(ArrayList.java:1511) ~[na:na]
	at org.telegram.telegrambots.meta.generics.LongPollingBot.onUpdatesReceived(LongPollingBot.java:27) ~[telegrambots-meta-6.1.0.jar:na]
	at org.telegram.telegrambots.updatesreceivers.DefaultBotSession$HandlerThread.run(DefaultBotSession.java:317) ~[telegrambots-6.1.0.jar:na]
Caused by: java.io.InvalidClassException: org.telegram.telegrambots.meta.api.objects.User; local class incompatible: stream classdesc serialVersionUID = 6678428979975123692, local class serialVersionUID = 6862340916727369648
	at java.base/java.io.ObjectStreamClass.initNonProxy(ObjectStreamClass.java:597) ~[na:na]
	at java.base/java.io.ObjectInputStream.readNonProxyDesc(ObjectInputStream.java:2076) ~[na:na]
	at java.base/java.io.ObjectInputStream.readClassDesc(ObjectInputStream.java:1925) ~[na:na]
	at java.base/java.io.ObjectInputStream.readOrdinaryObject(ObjectInputStream.java:2248) ~[na:na]
	at java.base/java.io.ObjectInputStream.readObject0(ObjectInputStream.java:1760) ~[na:na]
	at java.base/java.io.ObjectInputStream.readObject(ObjectInputStream.java:538) ~[na:na]
	at java.base/java.io.ObjectInputStream.readObject(ObjectInputStream.java:496) ~[na:na]
	at org.mapdb.serializer.SerializerJava.deserialize(SerializerJava.java:71) ~[mapdb-3.0.8.jar:na]
	at org.mapdb.StoreDirectAbstract.deserialize(StoreDirectAbstract.kt:229) ~[mapdb-3.0.8.jar:na]
	... 22 common frames omitted

**My class is** `public class WeatherBot extends AbilityBot `
**My overrided onUpdate method. Described error happening in bold lines**
@Override
    public void onUpdateReceived(final Update update) {
        if (update.hasMessage() && update.getMessage().getLocation() != null) {
            botService.saveLocation(update);
            return;
        }
        **if (!update.hasCallbackQuery()) {
            super.onUpdateReceived(update);
            return;
        }**
        if (isForecastRequested(update)) {
            getForecast(update);
        }
        if (isLocationSetRequested(update)) {
            getLocationButton(update);
        }
    }

**System**
 - OS: Ubuntu 22.04
 - Java 17, Spring boot 2.7.5, telegrambots-abilities-6.1.0
",[],[],,0
1149,Remove old hook error,closed,2022-11-19 03:31:29,2022-11-20 03:26:53,2022-11-20 03:26:53,"**Describe the bug**
A clear and concise description of what the bug is.
<img width=""925"" alt=""image"" src=""https://user-images.githubusercontent.com/14249262/202831355-20f071fc-d4c1-4baf-bac7-ec0d3c00360a.png"">


hi, I just transfer my telegram bot from a vps tp another vps. but in my new vps., I can run my bot application normally.
I have check and search the issues list. and find the same issue with me.

From that answer, you say my vps cant visit the api.telegram.org. But on my server, I can ping that server.

<img width=""575"" alt=""image"" src=""https://user-images.githubusercontent.com/14249262/202832357-1e8b87aa-fe0b-465e-a8ea-a1ef65b39cf4.png"">

i dont know how to solve this problem.
",[],[],,1
1148,Connect to api.telegram.org:443 [api.telegram.org/173.244.209.150] failed: Connection timed out: connect,open,2022-11-18 10:36:44,2023-04-26 19:52:12,,"**Describe the bug**
Connect to api.telegram.org:443 [api.telegram.org/173.244.209.150] failed: Connection timed out: connect



ache.http.client.protocol.RequestAddCookies - CookieSpec selected: default
18:27:39.143 [main] DEBUG org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
18:27:39.145 [main] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {s}->https://api.telegram.org:443][total available: 0; route allocated: 0 of 2; total allocated: 0 of 100]
18:27:39.159 [main] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 0][route: {s}->https://api.telegram.org:443][total available: 0; route allocated: 1 of 2; total allocated: 1 of 100]
18:27:39.161 [main] DEBUG org.apache.http.impl.execchain.MainClientExec - Opening connection {s}->https://api.telegram.org:443
18:27:40.218 [main] DEBUG org.apache.http.impl.conn.DefaultHttpClientConnectionOperator - Connecting to api.telegram.org/173.244.209.150:443
18:27:40.218 [main] DEBUG org.apache.http.conn.ssl.SSLConnectionSocketFactory - Connecting socket to api.telegram.org/173.244.209.150:443 with timeout 75000
18:28:01.251 [main] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-0: Shutdown connection
18:28:01.251 [main] DEBUG org.apache.http.impl.execchain.MainClientExec - Connection discarded
18:28:01.252 [main] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager - Connection released: [id: 0][route: {s}->https://api.telegram.org:443][total available: 0; route allocated: 0 of 2; total allocated: 0 of 100]
Error removing old webhook
	at org.telegram.telegrambots.util.WebhookUtils.clearWebhook(WebhookUtils.java:112)
	at org.telegram.telegrambots.bots.TelegramLongPollingBot.clearWebhook(TelegramLongPollingBot.java:24)
	at org.telegram.telegrambots.meta.TelegramBotsApi.registerBot(TelegramBotsApi.java:65)
	at com.telegram.mybot.BotApp.main(BotApp.java:11)
Caused by: org.telegram.telegrambots.meta.exceptions.TelegramApiException: Unable to execute deleteWebhook method
	at org.telegram.telegrambots.bots.DefaultAbsSender.sendApiMethod(DefaultAbsSender.java:1074)
	at org.telegram.telegrambots.meta.bots.AbsSender.execute(AbsSender.java:64)
	at org.telegram.telegrambots.util.WebhookUtils.clearWebhook(WebhookUtils.java:107)
	... 3 more
Caused by: org.apache.http.conn.HttpHostConnectException: Connect to api.telegram.org:443 [api.telegram.org/173.244.209.150] failed: Connection timed out: connect
	at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:156)
	at org.apache.http.impl.conn.PoolingHttpClientConnectionManager.connect(PoolingHttpClientConnectionManager.java:376)
	at org.apache.http.impl.execchain.MainClientExec.establishRoute(MainClientExec.java:393)
	at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:236)
	at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:186)
	at org.apache.http.impl.execchain.RetryExec.execute(RetryExec.java:89)
	at org.apache.http.impl.execchain.RedirectExec.execute(RedirectExec.java:110)
	at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:185)
	at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:83)
	at org.telegram.telegrambots.bots.DefaultAbsSender.sendHttpPostRequest(DefaultAbsSender.java:1106)
	at org.telegram.telegrambots.bots.DefaultAbsSender.sendMethodRequest(DefaultAbsSender.java:1102)
	at org.telegram.telegrambots.bots.DefaultAbsSender.sendApiMethod(DefaultAbsSender.java:1071)
	... 5 more
Caused by: java.net.ConnectException: Connection timed out: connect
	at java.net.DualStackPlainSocketImpl.waitForConnect(Native Method)
	at java.net.DualStackPlainSocketImpl.socketConnect(DualStackPlainSocketImpl.java:85)
	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:350)
	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:206)
	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:188)
	at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:172)
	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:392)
	at java.net.Socket.connect(Socket.java:589)
	at org.apache.http.conn.ssl.SSLConnectionSocketFactory.connectSocket(SSLConnectionSocketFactory.java:368)
	at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:142)
	... 16 more

Process finished with exit code 0
",[],[],,2
1147,How to get new chat member in super group?,open,2022-11-16 02:01:49,2023-03-29 07:25:07,,"I use spring-boot-starter:6.1 with bot long polling mode.

I use #Message.getNewChatMembers() method to get new members of the group. 

This method works for groups with less than 10,000 members, but not for super groups with more than 10,000 members.

In a super group of over 10,000 people, I can't get any updates when a new member joins.

Can anyone tell me how to get it

<img width=""754"" alt=""image"" src=""https://user-images.githubusercontent.com/28617648/202064447-7882adcd-6441-45ce-84d0-33719d923915.png"">
<img width=""597"" alt=""image"" src=""https://user-images.githubusercontent.com/28617648/202064502-7a818586-cb0f-45b6-aeb1-3bb218f50038.png"">
",[],[],,5
